date,time,latitude,longitude,elevation,heart_rate,cadence,temperature
2019-1-25,13:6:12,49.4088860,32.0949190,86.8,131,85,
2019-1-25,13:6:13,49.4088680,32.0948940,86.8,131,89,
2019-1-25,13:6:14,49.4088290,32.0948540,86.8,131,91,
2019-1-25,13:6:15,49.4088290,32.0948540,86.8,131,92,
2019-1-25,13:6:16,49.4088120,32.0948290,86.8,131,92,
2019-1-25,13:6:17,49.4088020,32.0947570,86.8,132,90,
2019-1-25,13:6:18,49.4088020,32.0947570,86.8,132,90,
2019-1-25,13:6:19,49.4088150,32.0947220,86.8,134,90,
2019-1-25,13:6:20,49.4088530,32.0946630,86.8,134,91,
2019-1-25,13:6:21,49.4088530,32.0946630,86.8,134,91,
2019-1-25,13:6:22,49.4088720,32.0946360,86.8,134,91,
2019-1-25,13:6:23,49.4089110,32.0945730,86.8,134,88,
2019-1-25,13:6:24,49.4089110,32.0945730,86.8,134,88,
2019-1-25,13:6:25,49.4089290,32.0945370,86.8,134,88,
2019-1-25,13:6:26,49.4089660,32.0944690,86.8,133,87,
2019-1-25,13:6:27,49.4089660,32.0944690,86.8,134,87,
2019-1-25,13:6:28,49.4089860,32.0944350,86.8,134,87,
2019-1-25,13:6:29,49.4090210,32.0943600,86.8,133,87,
2019-1-25,13:6:30,49.4090330,32.0943390,86.8,133,87,
2019-1-25,13:6:31,49.4090450,32.0943170,86.8,133,87,
2019-1-25,13:6:32,49.4090960,32.0942330,86.9,132,87,
2019-1-25,13:6:33,49.4090960,32.0942330,86.9,132,87,
2019-1-25,13:6:34,49.4091220,32.0941990,86.9,132,89,
2019-1-25,13:6:35,49.4091660,32.0941310,86.9,134,89,
2019-1-25,13:6:36,49.4091660,32.0941310,86.9,134,89,
2019-1-25,13:6:37,49.4091900,32.0940970,86.9,134,89,
2019-1-25,13:6:38,49.4092340,32.0940300,87.0,134,89,
2019-1-25,13:6:39,49.4092340,32.0940300,87.0,134,89,
2019-1-25,13:6:40,49.4092530,32.0939970,87.0,133,89,
2019-1-25,13:6:41,49.4092900,32.0939290,87.1,133,90,
2019-1-25,13:6:42,49.4092900,32.0939290,87.1,133,90,
2019-1-25,13:6:43,49.4093090,32.0938930,87.2,133,90,
2019-1-25,13:6:44,49.4093450,32.0938200,87.4,133,90,
2019-1-25,13:6:45,49.4093450,32.0938200,87.4,133,90,
2019-1-25,13:6:46,49.4093640,32.0937820,87.4,133,90,
2019-1-25,13:6:47,49.4094060,32.0937040,87.6,132,91,
2019-1-25,13:6:48,49.4094060,32.0937040,87.6,132,91,
2019-1-25,13:6:49,49.4094270,32.0936660,87.7,132,91,
2019-1-25,13:6:50,49.4094650,32.0935900,87.8,133,93,
2019-1-25,13:6:51,49.4094650,32.0935900,87.8,133,93,
2019-1-25,13:6:52,49.4094860,32.0935510,87.7,133,93,
2019-1-25,13:6:53,49.4095300,32.0934750,87.7,134,93,
2019-1-25,13:6:54,49.4095300,32.0934750,87.7,136,93,
2019-1-25,13:6:55,49.4095480,32.0934340,87.6,136,93,
2019-1-25,13:6:56,49.4095680,32.0933970,87.6,136,93,
2019-1-25,13:6:57,49.4095870,32.0933640,87.6,136,92,
2019-1-25,13:6:58,49.4096270,32.0933040,87.5,137,91,
2019-1-25,13:6:59,49.4096270,32.0933040,87.5,141,91,
2019-1-25,13:7:0,49.4096480,32.0932750,87.5,141,91,
2019-1-25,13:7:1,49.4096900,32.0932170,87.5,142,91,
2019-1-25,13:7:2,49.4096900,32.0932170,87.5,142,91,
2019-1-25,13:7:3,49.4097080,32.0931860,87.5,142,91,
2019-1-25,13:7:4,49.4097390,32.0931160,87.4,141,91,
2019-1-25,13:7:5,49.4097390,32.0931160,87.4,141,91,
2019-1-25,13:7:6,49.4097520,32.0930790,87.3,140,91,
2019-1-25,13:7:7,49.4097710,32.0930110,87.3,138,91,
2019-1-25,13:7:8,49.4097710,32.0930110,87.3,138,91,
2019-1-25,13:7:9,49.4097770,32.0929850,87.2,136,91,
2019-1-25,13:7:10,49.4097820,32.0929650,87.2,135,83,
2019-1-25,13:7:11,49.4097820,32.0929650,87.2,135,83,
2019-1-25,13:7:12,49.4097830,32.0929600,87.2,133,82,
2019-1-25,13:7:13,49.4097840,32.0929450,87.2,132,77,
2019-1-25,13:7:14,49.4097840,32.0929450,87.2,132,77,
2019-1-25,13:7:15,49.4097920,32.0929260,87.1,131,77,
2019-1-25,13:7:16,49.4098120,32.0928730,87.1,131,81,
2019-1-25,13:7:17,49.4098120,32.0928730,86.5,131,81,
2019-1-25,13:7:18,49.4098250,32.0928370,86.4,130,81,
2019-1-25,13:7:19,49.4098560,32.0927660,86.3,130,83,
2019-1-25,13:7:20,49.4098560,32.0927660,86.3,129,83,
2019-1-25,13:7:21,49.4098740,32.0927360,86.2,129,86,
2019-1-25,13:7:22,49.4099060,32.0926820,86.1,129,87,
2019-1-25,13:7:23,49.4099060,32.0926820,86.1,129,87,
2019-1-25,13:7:24,49.4099110,32.0926570,86.1,129,87,
2019-1-25,13:7:25,49.4098930,32.0926040,86.1,129,87,
2019-1-25,13:7:26,49.4098930,32.0926040,86.1,130,87,
2019-1-25,13:7:27,49.4098690,32.0925770,86.1,130,87,
2019-1-25,13:7:28,49.4098260,32.0925250,86.0,133,87,
2019-1-25,13:7:29,49.4098260,32.0925250,86.0,133,87,
2019-1-25,13:7:30,49.4098060,32.0924990,86.0,133,91,
2019-1-25,13:7:31,49.4097600,32.0924480,86.0,133,91,
2019-1-25,13:7:32,49.4097600,32.0924480,86.0,133,91,
2019-1-25,13:7:33,49.4097370,32.0924240,86.0,133,92,
2019-1-25,13:7:34,49.4096920,32.0923750,86.0,133,93,
2019-1-25,13:7:35,49.4096920,32.0923750,86.0,134,93,
2019-1-25,13:7:36,49.4096690,32.0923510,86.0,134,93,
2019-1-25,13:7:37,49.4096250,32.0922970,86.0,136,93,
2019-1-25,13:7:38,49.4096250,32.0922970,86.0,136,92,
2019-1-25,13:7:39,49.4096020,32.0922700,86.0,136,92,
2019-1-25,13:7:40,49.4095590,32.0922140,86.0,135,91,
2019-1-25,13:7:41,49.4095590,32.0922140,86.0,135,91,
2019-1-25,13:7:42,49.4095370,32.0921860,86.0,134,91,
2019-1-25,13:7:43,49.4094870,32.0921250,86.0,134,91,
2019-1-25,13:7:44,49.4094870,32.0921250,86.0,134,91,
2019-1-25,13:7:45,49.4094620,32.0920990,86.0,133,93,
2019-1-25,13:7:46,49.4094140,32.0920460,86.0,134,93,
2019-1-25,13:7:47,49.4094140,32.0920460,86.0,134,93,
2019-1-25,13:7:48,49.4093900,32.0920190,86.0,133,93,
2019-1-25,13:7:49,49.4093410,32.0919670,86.0,133,92,
2019-1-25,13:7:50,49.4093170,32.0919390,86.0,133,92,
2019-1-25,13:7:51,49.4092930,32.0919110,86.0,132,91,
2019-1-25,13:7:52,49.4092690,32.0918820,86.0,133,91,
2019-1-25,13:7:53,49.4092450,32.0918530,86.0,134,91,
2019-1-25,13:7:54,49.4092450,32.0918530,86.0,134,91,
2019-1-25,13:7:55,49.4092220,32.0918210,86.1,133,92,
2019-1-25,13:7:56,49.4092000,32.0917900,86.1,133,92,
2019-1-25,13:7:57,49.4091780,32.0917580,86.2,133,93,
2019-1-25,13:7:58,49.4091560,32.0917260,86.3,133,93,
2019-1-25,13:7:59,49.4091110,32.0916660,86.4,133,91,
2019-1-25,13:8:0,49.4091110,32.0916660,86.4,133,91,
2019-1-25,13:8:1,49.4090890,32.0916380,86.5,133,91,
2019-1-25,13:8:2,49.4090440,32.0915790,86.6,133,90,
2019-1-25,13:8:3,49.4090440,32.0915790,86.6,132,90,
2019-1-25,13:8:4,49.4090190,32.0915490,86.7,132,90,
2019-1-25,13:8:5,49.4089690,32.0914940,86.9,132,91,
2019-1-25,13:8:6,49.4089690,32.0914940,86.9,132,91,
2019-1-25,13:8:7,49.4089450,32.0914670,87.0,132,91,
2019-1-25,13:8:8,49.4088950,32.0914100,87.1,132,90,
2019-1-25,13:8:9,49.4088950,32.0914100,87.1,132,90,
2019-1-25,13:8:10,49.4088720,32.0913780,87.2,132,91,
2019-1-25,13:8:11,49.4088250,32.0913130,87.3,130,93,
2019-1-25,13:8:12,49.4088250,32.0913130,87.3,130,93,
2019-1-25,13:8:13,49.4088010,32.0912830,87.4,130,93,
2019-1-25,13:8:14,49.4087510,32.0912220,87.8,131,93,
2019-1-25,13:8:15,49.4087510,32.0912220,87.8,131,91,
2019-1-25,13:8:16,49.4087250,32.0911920,87.9,132,91,
2019-1-25,13:8:17,49.4086780,32.0911290,87.7,133,91,
2019-1-25,13:8:18,49.4086780,32.0911290,87.7,133,91,
2019-1-25,13:8:19,49.4086540,32.0910950,87.6,133,90,
2019-1-25,13:8:20,49.4086030,32.0910290,87.4,133,90,
2019-1-25,13:8:21,49.4086030,32.0910290,87.4,133,90,
2019-1-25,13:8:22,49.4085770,32.0909950,87.3,133,90,
2019-1-25,13:8:23,49.4085280,32.0909350,87.2,133,91,
2019-1-25,13:8:24,49.4085280,32.0909350,87.2,133,92,
2019-1-25,13:8:25,49.4085040,32.0909030,87.1,133,94,
2019-1-25,13:8:26,49.4084580,32.0908420,87.1,133,94,
2019-1-25,13:8:27,49.4084580,32.0908420,87.1,132,94,
2019-1-25,13:8:28,49.4084360,32.0908120,87.1,132,92,
2019-1-25,13:8:29,49.4083910,32.0907540,87.1,132,92,
2019-1-25,13:8:30,49.4083910,32.0907540,87.1,132,92,
2019-1-25,13:8:31,49.4083670,32.0907180,87.1,133,91,
2019-1-25,13:8:32,49.4083170,32.0906580,87.1,134,90,
2019-1-25,13:8:33,49.4083170,32.0906580,87.1,134,90,
2019-1-25,13:8:34,49.4082930,32.0906270,87.1,134,90,
2019-1-25,13:8:35,49.4082480,32.0905590,87.1,134,91,
2019-1-25,13:8:36,49.4082480,32.0905590,87.1,134,91,
2019-1-25,13:8:37,49.4082220,32.0905270,87.1,136,91,
2019-1-25,13:8:38,49.4081720,32.0904660,87.1,136,91,
2019-1-25,13:8:39,49.4081720,32.0904660,87.1,136,91,
2019-1-25,13:8:40,49.4081470,32.0904370,87.1,136,91,
2019-1-25,13:8:41,49.4081040,32.0903700,87.0,137,92,
2019-1-25,13:8:42,49.4081040,32.0903700,87.0,137,92,
2019-1-25,13:8:43,49.4080790,32.0903390,87.0,137,92,
2019-1-25,13:8:44,49.4080260,32.0902820,87.0,137,91,
2019-1-25,13:8:45,49.4080260,32.0902820,87.0,137,91,
2019-1-25,13:8:46,49.4080020,32.0902510,87.0,138,90,
2019-1-25,13:8:47,49.4079560,32.0901910,87.1,138,91,
2019-1-25,13:8:48,49.4079560,32.0901910,87.1,138,91,
2019-1-25,13:8:49,49.4079340,32.0901600,87.1,138,91,
2019-1-25,13:8:50,49.4078890,32.0901010,87.1,140,91,
2019-1-25,13:8:51,49.4078890,32.0901010,87.1,140,91,
2019-1-25,13:8:52,49.4078670,32.0900700,87.1,141,91,
2019-1-25,13:8:53,49.4078240,32.0900080,87.2,142,91,
2019-1-25,13:8:54,49.4078240,32.0900080,87.2,142,91,
2019-1-25,13:8:55,49.4078000,32.0899780,87.2,142,91,
2019-1-25,13:8:56,49.4077720,32.0899490,87.2,142,91,
2019-1-25,13:8:57,49.4077460,32.0899150,87.2,142,92,
2019-1-25,13:8:58,49.4076930,32.0898500,87.3,142,92,
2019-1-25,13:8:59,49.4076930,32.0898500,87.3,142,92,
2019-1-25,13:9:0,49.4076650,32.0898220,87.4,142,91,
2019-1-25,13:9:1,49.4076200,32.0897650,87.4,142,91,
2019-1-25,13:9:2,49.4076200,32.0897650,87.4,142,91,
2019-1-25,13:9:3,49.4075990,32.0897340,87.4,141,91,
2019-1-25,13:9:4,49.4075620,32.0896680,87.5,141,91,
2019-1-25,13:9:5,49.4075620,32.0896680,87.5,141,91,
2019-1-25,13:9:6,49.4075420,32.0896360,87.5,141,91,
2019-1-25,13:9:7,49.4075040,32.0895780,87.6,141,90,
2019-1-25,13:9:8,49.4075040,32.0895780,87.6,141,90,
2019-1-25,13:9:9,49.4074870,32.0895530,87.6,140,90,
2019-1-25,13:9:10,49.4074490,32.0894940,87.6,140,89,
2019-1-25,13:9:11,49.4074490,32.0894940,87.6,140,89,
2019-1-25,13:9:12,49.4074280,32.0894640,87.8,140,89,
2019-1-25,13:9:13,49.4073890,32.0894040,88.0,140,89,
2019-1-25,13:9:14,49.4073890,32.0894040,88.0,140,89,
2019-1-25,13:9:15,49.4073690,32.0893740,88.2,140,91,
2019-1-25,13:9:16,49.4073300,32.0893120,88.4,140,92,
2019-1-25,13:9:17,49.4073300,32.0893120,88.4,140,92,
2019-1-25,13:9:18,49.4073110,32.0892810,88.5,140,92,
2019-1-25,13:9:19,49.4072740,32.0892280,88.7,140,92,
2019-1-25,13:9:20,49.4072740,32.0892280,88.7,140,92,
2019-1-25,13:9:21,49.4072560,32.0892000,88.8,140,92,
2019-1-25,13:9:22,49.4072210,32.0891410,89.0,140,91,
2019-1-25,13:9:23,49.4072210,32.0891410,89.0,140,91,
